# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
AAA	ANSETT	Ansett Australia	Australia
AAB	ABG	Abelag Aviation	Belgium
AAC	ARMYAIR	Army Air Corps	United Kingdom
AAD	SUNRISE	Aero Aviation Centre Ltd.	Canada
AAF	AIGLE AZUR	Aigle Azur	France
AAG	ATLANTIC	Air Atlantique	United Kingdom
AAH	ALOHA	Aloha Airlines	United States
AAI	BOREALIS	Air Aurora	United States
AAJ	AIR ALMA	Air Alma	Canada
AAK	ALASKA ISLAND	Alaska Island Air	United States
AAL	AMERICAN	American Airlines	United States
AAM	AM CORP	Aviation Management Corporation	United States
AAN	AMSTEL	Amsterdam Airlines	Netherlands
AAO	ATLANTIS AIR	Atlantis Airlines (USA)	United States
AAP	AEROVISTA GROUP	Aerovista Airlines	United Arab Emirates
AAQ	COPTERLINE	Copterline	Finland
AAR	ASIANA	Asiana Airlines	Republic of Korea
AAS	AL-AAS	Askari Aviation	Pakistan
AAU	AUSTASIA	Australia Asia Airlines	Australia
AAV	ASTRO-PHIL	Astro Air International	United States
AAW	AFRIQIYAH	Afriqiyah Airways	Libya
AAX	AFREX	Afric'air Express	Ivory Coast
AAY	ALLEGIANT	Allegiant Air	United States
AAZ	ANGUS	Angus Aviation	Canada
ABA	ARTEM-AVIA	Artem-Avia	Ukraine
ABB	AFRICAN BUSINESS-	African Business and Transportations	Democratic Republic of the Congo
ABD	ATLANTA	Air Atlanta Icelandic	Iceland
ABE	ABAN	Aban Air	Iran
ABF	SKYWINGS	Aerial Oy	Finland
ABG	ABAKAN-AVIA	Abakan-Avia	Russia
ABJ	ABAET	Abaet	Brazil
ABK	ALBERTA CITYLINK	Alberta Citylink	Canada
ABL	AIR BUSAN	Air Busan	Republic of Korea
ABM	ALBATROS ESPANA	Aero Albatros	Spain
ABO	AEROEXPRESO	APSA Colombia	Colombia
ABP	BAIR	Aba Air	Czech Republic
ABQ	PAKBLUE	Airblue	Pakistan
ABR	CONTRACT	Air Contractors	Ireland
ABS	ATHABASKA	Transwest Air	Canada
ABT	AIR BROUSSE	Air Brousse	Canada
ABU	AEROBUENO	Aerovias Bueno	Colombia
ABV	ANTRAK	Antrak Air	Ghana
ABW	AIRBRIDGE CARGO	AirBridge Cargo	Russia
ABX	ABEX	Airborne Express	United States
ABY	ARABIA	Air Arabia	United Arab Emirates
ABZ	ATA-BRAZIL	ATA Brasil	Brazil
ACA	AIR CANADA	Air Canada	Canada
ACD	ACADEMY	Academy Airlines	United States
ACE	FASTCARGO	Race Cargo Airlines	Ghana
ACF	FORCAN	Centro de Formacion Aeronautica de Canarias	Spain
ACG	AIR PARTNER	Air Partner	United Kingdom
ACI	AIRCALIN	Air Caledonie International	France
ACK	ACK AIR	Nantucket Airlines	United States
ACL	ITALI	Itali Airlines	Italy
ACM	WEST CAL	Air Caledonia	Canada
ACN	AEROCENTRO	Central American Airlines	Nicaragua
ACO	AERO COMONDU	Aero Comondu	Mexico
ACP	ASTRAL CARGO	Astral Aviation	Kenya
ACQ	AERO CONTINENTE	Nuevo Continente	Peru
ACR	ESCUELA DE FORMACION DE PIOLTOS PRIVADOS DE AVION	Aerocenter	AEROCENTER
ACU	AFRISPIRIT	Air Cargo Transportation System	Kenya
ACW	AIR CADET	Royal Air Force	United Kingdom
ACX	PARAIR	Air Charters	Canada
ACY	ATLAS CARGOLINES	Atlas Cargo Lines	Morocco
ADA	AUSCAL	Airservices Australia	Australia
ADB	ANTONOV BUREAU	Antonov Airlines	Ukraine
ADC	ATLAN-DOMINICAN	Air Atlantic Dominicana	Dominican Republic
ADE	ADA AIR	Ada Air	Albania
ADG	AEREA TRAINING	Aerea Flying Training Organization	Spain
ADH	HERON	Air One	Italy
ADI	AUDELI	Audeli Air	Spain
ADJ	ABICAR	Abicar	Ivory Coast
ADK	ADCO	ADC Airlines	Nigeria
ADL	COTSWOLD	Aero Dynamics	United Kingdom
ADM	DOMINAIR	Aerolineas Dominicanas	Dominican Republic
ADN	AERODIENST	Aerodienst GmbH	Germany
ADO	AIR DO	Hokkaido International Airlines	Japan
ADP	AERODIPLOMATIC	Aerodiplomatic	Mexico
ADQ	AIR DATA	Avion Taxi	Canada
ADR	ADRIA	Adria Airways	Slovenia
ADS	SONORAV	Aviones de Sonora	Mexico
ADT	AIR DORVAL	Air Dorval	Canada
ADU	AIRDEAL	Airdeal Oy	Finland
ADV	ADVANCE	Advance Air Charters	Canada
ADW	AIR ANDAMAN	Air Andaman	Thailand
ADX	ANDAX	Anderson Aviation	United States
ADY	AERODYNE	Aerodyne	United States
AEA	EUROPA	Air Europa	Spain
AEB	AEROBEN	Aero Benin	Benin
AEC	AEROVIAS DEL CESAR	Aerocesar	AEROCESAR
AEE	AEGEAN	Aegean Airlines	Greece
AEG	FUMIGACIONES SAM	Aerofumigaciones Sam	Chile
AEH	AVEX	Aviaexpress	Hungary
AEI	INTERAM	Aeroexpreso Interamericano	Colombia
AEJ	KHAKI EXPRESS	Air Express	Tanzania
AEK	AEROCON	Aerocon	Bolivia
AEL	AIR EUROPE	Air Europe	Italy
AEM	AEROMADRID	Aero Madrid	Spain
AEO	AERO OCCIDENTE	Aeroservicios Ejecutivos Del Occidente	Mexico
AEP	AEROTEC	Aerotec	Spain
AEQ	LUNA	Air Express	Sweden
AER	ACE AIR	Alaska Central Express	United States
AES	ACES	ACES Colombia	Colombia
AET	AEROTHAI	Aeronautical Radio of Thailand	Thailand
AEU	FLYSTAR	Astraeus	United Kingdom
AEV	AEROVENTAS	Aeroventas	Mexico
AEW	AEROSVIT	Aerosvit Airlines	Ukraine
AEX	AVCO	Airway Express	United States
AEY	AIR ITALY	Air Italy	Italy
AEZ	AERIAL TRANZ	Aerial Transit Company	United States
AFA	BLUE ALFA	Alfa Air	Czech Republic
AFB	AMERICAN FALCON	American Falcon	Argentina
AFC	AFRICAN WEST	African West Air	Senegal
AFD	AIRFED	Panorama Flight Service	United States
AFE	AIRFAST	Airfast Indonesia	Indonesia
AFG	ARIANA	Ariana Afghan Airlines	Afghanistan
AFH	FECTO	Air Fecteau	Canada
AFI	AFRICAWORLD	Africaone	Uganda
AFJ	JAMBO	Alliance	Uganda
AFK	AFRICA LINKS	Africa Air Links	Sierra Leone
AFL	AEROFLOT	Aeroflot Russian Airlines	Russia
AFO	AERO EMPRESA	Aero Empresa Mexicana	Mexico
AFP	PORTUGUESE AIR FORCE	Portuguese Air Force	Portugal
AFQ	ALBA	Alba Servizi Aerotrasporti	Italy
AFR	AIRFRANS	Air France	France
AFV	AFRIQUE VACANCE	Air Afrique Vacancies	Ivory Coast
AFW	AFRAIR	Afrique Regional Airways	Ivory Coast
AFY	AFRICA CHARTERED	Africa Chartered Services	Nigeria
AFZ	AFREIGHT	Africa Freight Services	Zambia
AGC	AGRICO	Arab Agricultural Aviation Company	Egypt
AGE	AEROANGEL	Servicios Aereos de Los Angeles	Mexico
AGF	ATLANTIC GULF	Atlantic Gulf Airlines	United States
AGG	ALGOMA	Algoma Airways	Canada
AGH	ALTAGNA	Altagna	France
AGM	AIR GUAM	Air Guam	United States
AGN	GOLF NOVEMBER	Air Gabon	Gabon
AGO	ANGOLA CHARTER	Angola Air Charter	Angola
AGP	AIR TARA	AERFI Group	Ireland
AGQ	GALASERVICE	Aerogala	Chile
AGR	AGRICULTURE	United States Department Of Agriculture	United States
AGT	AMADEUS	Amadeus Global Travel Distribution	Spain
AGU	SARMA	Angara Airlines	Russia
AGV	AIR GLACIERS	Air Glaciers	Switzerland
AGW	AERO GAMBIA	Aero Gambia	Gambia
AGX	GENEX	Aviogenex	Serbia
AGY	FLIGHT GROUP	Aero Flight Service	United States
AGZ	AGROLET	Agrolet-Mci	Slovakia
AHA	AIR ALPHA	Air Alpha Greenland	Denmark
AHC	AZALAVIACARGO	Azal Avia Cargo	Azerbaijan
AHD	AIRHANDLING	Czech Air Handling	Czech Republic
AHF	ASPEN	Aspen Helicopters	United States
AHG	AEROCHAGO	Aerochago Airlines	Dominican Republic
AHH	AIRHOLD	Airplanes Holdings	Ireland
AHI	AEROCHISA	Servicios Aereos de Chihuahua Aerochisa	Mexico
AHK	AIR HONG KONG	Air Hong Kong	Hong Kong
AHM	AIR HURON	Garrison Aviation	Canada
AHO	AIR HAMBURG	Air Hamburg (AHO)	Germany
AHP	AEROCHIAPAS	Aerochiapas	Mexico
AHR	ADRIATIC	Air Adriatic	Croatia
AHS	AIRSAR	Air Viggi San Raffaele	Italy
AHT	HELIAPRA	HTA Helicopteros	Portugal
AHU	ABC HUNGARY	ABC Air Hungary	Hungary
AHW	AEROMIST	Aeromist-Kharkiv	Ukraine
AHY	AZAL	Azerbaijan Airlines	Azerbaijan
AIA	AVIES	Avies	Estonia
AIB	AIRBUS INDUSTRIE	Airbus Industrie	France
AIC	AIRINDIA	Air India Limited	India
AIE	AIR INUIT	Air Inuit	Canada
AIH	ALPINE CHILE	Alpine Air Chile	Chile
AII	INTEGRA	Air Integra	Canada
AIJ	ABC AEROLINEAS	ABC Aerolineas	Mexico
AIK	AFRICAN AIRLINES	African Airlines International Limited	Kenya
AIL	AIR ILLINOIS	Air Illinois	United States
AIM	PIJO	Trabajos Aereos Murcianos	Spain
AIN	FLY CARGO	African International Airways	Swaziland
AIO	AIR CHIEF	United States Air Force	United States
AIP	ALPINE AIR	Alpine Air Express	United States
AIQ	THAI ASIA	Thai AirAsia	Thailand
AIR	AIRLIFT	Airlift International	United States
AIS	SURESTE	Air Sureste	Spain
AIU	ALIA	Alicante Internacional Airlines	Spain
AIV	AIRVIAS	Airvias S/A Linhas Aereas	Brazil
AIW	TARTAN	Atlantic Island Airways	Canada
AIX	CRUISER	Aircruising Australia	Australia
AIY	AIRCREW	Aircrew Check and Training Australia	Australia
AIZ	ARKIA	Arkia Israel Airlines	Israel
AJA	AYJAY SERVICES	A J Services	United Kingdom
AJB	AERO JBR	Aero JBR	Mexico
AJC	BAR HARBOR	Bar Harbor Airlines	United States
AJE	JET EXPRESS	Aero Jet Express	Mexico
AJF	AVIACONSULT	Avia Consult Flugbetriebs	Austria
AJI	AMERISTAR	Ameristar Jet Charter	United States
AJJ	ATLANTIC JET	A2 Jet Leasing	United States
AJK	BAMBI	Allied Air	Nigeria
AJM	JAMAICA	Air Jamaica	Jamaica
AJO	AEROEXO	Aeroejecutivo	Mexico
AJP	AEROJETS	Aero Jets Corporativos	Mexico
AJS	AEROEJECUTIVOS	Aeroejecutivos Colombia	Colombia
AJT	AMERIJET	Amerijet International	United States
AJU	AIRJETSUL	Air Jetsul	Portugal
AJV	AYJAY CARGO	ANA & JP Express	Japan
AJW	ALPHAJET	Alpha Jet International	United States
AJX	AIR JAPAN	Air Japan	Japan
AJY	AYJET	Ajet	Cyprus
AKB	KARAB	Aktjubavia	Kazakhstan
AKC	ARCA	Arca Aerovias Colombianas Ltda.	Colombia
AKF	ANIKAY	Anikay Air Company	Kyrgyzstan
AKG	GRIFTER	84 Squadron Royal Air Force @ RAF Akrotiri	United Kingdom
AKH	AKHAL	Akhal	Turkmenistan
AKK	AKLAK	Aklak Air	Canada
AKM	MAKAIR	Mak Air	Kazakhstan
AKN	ALKAN AIR	Alkan Air	Canada
AKR	ARCTIC NORWAY	Arctic Air	Norway
AKT	AVIAKARAT	Karat	Russia
AKW	ANGKORWAYS	Angkor Airways	Cambodia
